Company Id;Product code;Language;Price;Combination
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
1;5673476133;fr;105;test import prices ans stocks: option 5
1;5673476133;fr;106;test import prices ans stocks: option 6
1;5673476133;fr;107;test import prices ans stocks: option 7
1;5673476133;fr;108;test import prices ans stocks: option 8
1;4268784318;fr;109;
1;1234;fr;1;
1;8659653056;fr;100;
1;5673476133;fr;101;test import prices ans stocks: option 1
1;5673476133;fr;102;test import prices ans stocks: option 2
1;5673476133;fr;103;test import prices ans stocks: option 3
1;5673476133;fr;104;test import prices ans stocks: option 4
